Student,Teachers,EveningArrival,EveningDeparture,Email
x,"Mr.Jeff (jeff@gmail.com), Mr.Walter (walter@gmail.com), Ms.Gary (gary@gmail.com), Ms.Onion (onion@gmail.com)",x,x,x
Will,"Mr.Jeff (1), Mr.Walter (3), Ms.Gary (1), Ms.Onion (2)",7.5,8,william.nutbrown@abingdon.org.uk
Bob,"Mr.Jeff (3), Mr.Walter (3), Ms.Gary (2), Ms.Onion (2)",7,8.5,william.nutbrown@abingdon.org.uk
Gee,"Mr.Jeff (1), Mr.Walter (2), Ms.Gary (1), Ms.Onion (3)",6,8.5,william.nutbrown@abingdon.org.uk
Jack,"Mr.Jeff (3), Mr.Walter (1), Ms.Gary (1), Ms.Onion (1)",6,8.5,william.nutbrown@abingdon.org.uk
Harry,"Mr.Jeff (1), Mr.Walter (2), Ms.Gary (1), Ms.Onion (3)",6,8.5,william.nutbrown@abingdon.org.uk
Emily,"Mr.Jeff (2), Mr.Walter (1), Ms.Gary (3), Ms.Onion (2)",6,8.5,william.nutbrown@abingdon.org.uk
Peter,"Mr.Jeff (1), Mr.Walter (2), Ms.Gary (1), Ms.Onion (3)",6,8.5,william.nutbrown@abingdon.org.uk
Oliver,"Mr.Jeff (3), Mr.Walter (1), Ms.Gary (2), Ms.Onion (1)",6,8.5,william.nutbrown@abingdon.org.uk
Brian,"Mr.Jeff (1), Mr.Walter (2), Ms.Gary (1), Ms.Onion (1)",6,8.5,william.nutbrown@abingdon.org.uk
Freddie,"Mr.Jeff (3), Mr.Walter (2), Ms.Gary (1), Ms.Onion (1)",6,8.5,william.nutbrown@abingdon.org.uk
Ben,"Mr.Jeff (1), Mr.Walter (2), Ms.Gary (1), Ms.Onion (1)",6,8.5,william.nutbrown@abingdon.org.uk
Alice,"Mr.Jeff (1), Mr.Walter (3), Ms.Gary (1), Ms.Onion (1)",6,8.5,william.nutbrown@abingdon.org.uk
Harry.H,"Mr.Jeff (1), Mr.Walter (3), Ms.Gary (1), Ms.Onion (2)",7.5,8,william.nutbrown@abingdon.org.uk
Bob.L,"Mr.Jeff (3), Mr.Walter (3), Ms.Gary (2), Ms.Onion (2)",7,8.5,william.nutbrown@abingdon.org.uk
Gee.P,"Mr.Jeff (1), Mr.Walter (2), Ms.Gary (1), Ms.Onion (3)",6,8.5,william.nutbrown@abingdon.org.uk
Jack.E,"Mr.Jeff (3), Mr.Walter (1), Ms.Gary (1), Ms.Onion (1)",6,8.5,william.nutbrown@abingdon.org.uk
Harry.W,"Mr.Jeff (1), Mr.Walter (2), Ms.Gary (1), Ms.Onion (3)",6,8.5,william.nutbrown@abingdon.org.uk
Emily.P,"Mr.Jeff (2), Mr.Walter (1), Ms.Gary (3), Ms.Onion (2)",6,8.5,william.nutbrown@abingdon.org.uk
Peter.V,"Mr.Jeff (1), Mr.Walter (2), Ms.Gary (1), Ms.Onion (3)",6,8.5,william.nutbrown@abingdon.org.uk
Oliver.B,"Mr.Jeff (3), Mr.Walter (1), Ms.Gary (2), Ms.Onion (1)",6,8.5,william.nutbrown@abingdon.org.uk
Brian.X,"Mr.Jeff (1), Mr.Walter (2), Ms.Gary (1), Ms.Onion (1)",6,8.5,william.nutbrown@abingdon.org.uk
Freddie.Z,"Mr.Jeff (3), Mr.Walter (2), Ms.Gary (1), Ms.Onion (1)",6,8.5,william.nutbrown@abingdon.org.uk
Ben.A,"Mr.Jeff (1), Mr.Walter (2), Ms.Gary (1), Ms.Onion (1)",6,8.5,william.nutbrown@abingdon.org.uk
Alice.S,"Mr.Jeff (1), Mr.Walter (3), Ms.Gary (1), Ms.Onion (1)",6,8.5,william.nutbrown@abingdon.org.uk
